neighbor_env_level,risk_state,next_risk_state,count,probability
high,0,0,5,0.625
high,0,1,3,0.375
high,0,2,0,0.0
high,1,0,90,0.01818181818181818
high,1,1,3344,0.6755555555555556
high,1,2,1516,0.30626262626262624
high,2,0,211,0.003291372237041197
high,2,1,5168,0.08061522142667728
high,2,2,58728,0.9160934063362816
low,0,0,412,0.6299694189602446
low,0,1,216,0.3302752293577982
low,0,2,26,0.039755351681957186
low,1,0,365,0.02225881205025003
low,1,1,11297,0.6889254787169167
low,1,2,4736,0.2888157092328333
low,2,0,177,0.007242225859247136
low,2,1,5175,0.2117430441898527
low,2,2,19088,0.7810147299509002
mid,0,0,6,0.46153846153846156
mid,0,1,4,0.3076923076923077
mid,0,2,3,0.23076923076923078
mid,1,0,31,0.018235294117647058
mid,1,1,1087,0.6394117647058823
mid,1,2,582,0.3423529411764706
mid,2,0,19,0.0013459903655426467
mid,2,1,1405,0.09953244545196939
mid,2,2,12692,0.899121564182488
